Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio,My Bid
02/03/2021,01/08/2021,2020-002432-CA-01,2020002432CA01,FAUCTION34210100113602020002432CA01,Accepting Proxy,,0,0,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,,,,34-2101-001-1360,3421010011360,
02/08/2021,01/08/2021,2018-020690-CA-01,2018020690CA01,FAUCTION30403103506302018020690CA01,Accepting Proxy,220120.55,0,0,"Wilmington Trust, National Association","Wilmington Trust, National Association",HIDDEN,,,,30-4031-035-0630,3040310350630,
02/08/2021,01/05/2021,2020-012772-CA-01,2020012772CA01,FAUCTION28220202735002020012772CA01,Accepting Proxy,412854.29,0,465500,T & H VENTURES LLC,T & H VENTURES LLC,HIDDEN,19101 NE 36 CT 2812,AVENTURA,33180,28-2202-027-3500,2822020273500,
02/16/2021,01/04/2021,2012-010736-CA-01,2012010736CA01,FAUCTION1411006407202012010736CA01,Accepting Proxy,976743.69,0,395883,"Hsbc Bank Usa (na) (tr),","Hsbc Bank Usa (na) (tr),",HIDDEN,1751 SW 14 ST,MIAMI,33145,01-4110-064-0720,0141100640720,
02/16/2021,01/05/2021,2018-034945-CA-01,2018034945CA01,FAUCTION6222001900902018034945CA01,Accepting Proxy,211776.39,0,201860,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,13900 NE 16 CT,NORTH MIAMI,33181,06-2220-019-0090,0622200190090,
02/16/2021,01/04/2021,2020-020120-CA-01,2020020120CA01,FAUCTION30302304200102020020120CA01,Accepting Proxy,21440,0,1766370,"BIG BEN CONDOMINIUM ASSOCIATION, INC","BIG BEN CONDOMINIUM ASSOCIATION, INC",HIDDEN,4636 NW 74 AVE 1,MIAMI,33166,30-3023-042-0010,3030230420010,
02/17/2021,01/04/2021,2019-017038-CA-01,2019017038CA01,FAUCTION4311700804912019017038CA01,Accepting Proxy,179436.05,0,241122,"HSBC BANK USA, N.A. (TR)","HSBC BANK USA, N.A. (TR)",HIDDEN,820 E 16 PL,HIALEAH,33010,04-3117-008-0491,0431170080491,
02/17/2021,01/05/2021,2018-021858-CA-01,2018021858CA01,FAUCTION1311300904112018021858CA01,Accepting Proxy,214306.18,0,87642,DITECH FINANCIAL LLC ,DITECH FINANCIAL LLC ,HIDDEN,160 NW 69 ST,MIAMI,33150,01-3113-009-0411,0131130090411,
02/17/2021,01/05/2021,2013-023192-CA-01,2013023192CA01,FAUCTION30200303103802013023192CA01,Accepting Proxy,717387.56,0,352236,"Us Bank Na,","Us Bank Na,",HIDDEN,7844 NW 194 ST,MIAMI,33015,30-2003-031-0380,3020030310380,
02/17/2021,01/05/2021,2020-011355-CA-01,2020011355CA01,FAUCTION1420606827202020011355CA01,Accepting Proxy,330318.57,0,252910,NWL 2016 EVERGREEN LP,NWL 2016 EVERGREEN LP,HIDDEN,200 BISCAYNE BOULEVARD WAY 3211,MIAMI,33131,01-4206-068-2720,0142060682720,
