Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
01/19/2021,01/13/2021,2018-034951-CA-01,2018034951CA01,FAUCTION30600700604802018034951CA01,Accepting Proxy,248233.07,0,88093,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,20105 SW 114 CT,MIAMI,33189,30-6007-006-0480,3060070060480
02/02/2021,01/15/2021,2019-021224-CA-01,2019021224CA01,FAUCTION30593600302182019021224CA01,Accepting Proxy,342423.69,0,293903,REVERSE MORTGAGE SOLUTIONS INC,REVERSE MORTGAGE SOLUTIONS INC,HIDDEN,11770 SW 178 TER,MIAMI,33177,30-5936-003-0218,3059360030218
02/16/2021,01/14/2021,2017-016957-CA-01,2017016957CA01,FAUCTION30492704001402017016957CA01,Accepting Proxy,123933.47,0,155465,DEUTSCHE BANK NATIONAL TRUST COMPANY ,DEUTSCHE BANK NATIONAL TRUST COMPANY ,HIDDEN,6699 SW 137 CT 10B,MIAMI,33183,30-4927-040-0140,3049270400140
02/16/2021,01/14/2021,2020-012430-CA-01,2020012430CA01,FAUCTION07221500901702020012430CA01,Accepting Proxy,43060.31,0,181000,Reef Club Condominium Association Inc (The),Reef Club Condominium Association Inc (The),HIDDEN,16546 NE 26 AVE 3G,NORTH MIAMI BEACH,33160,07-2215-009-0170,0722150090170
02/16/2021,01/14/2021,2019-018460-CA-01,2019018460CA01,FAUCTION01410304304702019018460CA01,Accepting Proxy,69862.31,0,15220746,"MJM STRUCTURAL CORP., a Florida corporation","MJM STRUCTURAL CORP., a Florida corporation",HIDDEN,514 SW 22 AVE,MIAMI,33135,01-4103-043-0470,0141030430470
02/16/2021,01/14/2021,2020-005413-CA-01,2020005413CA01,FAUCTION30493500415302020005413CA01,Accepting Proxy,7046.96,0,338181,"Winston Park Association, Inc.","Winston Park Association, Inc.",HIDDEN,7451 SW 134 CT,MIAMI,33183,30-4935-004-1530,3049350041530
02/16/2021,01/13/2021,2018-001325-CA-01,2018001325CA01,FAUCTION01313412106802018001325CA01,Accepting Proxy,423934.56,0,143067,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,2415 NW 16 STREET RD 514,MIAMI,33125,01-3134-121-0680,0131341210680
02/16/2021,01/11/2021,2016-005372-CA-01,2016005372CA01,FAUCTION07220801508402016005372CA01,Accepting Proxy,295354.08,0,134351,"NATIONAL ASSOCIATION, U.S. ROF III LEGAL TITLE TRUST 2015-1 BY U.S. BANK","NATIONAL ASSOCIATION, U.S. ROF III LEGAL TITLE TRUST 2015-1 BY U.S. BANK",HIDDEN,1125 NE 177 TER,NORTH MIAMI BEACH,33162,07-2208-015-0840,0722080150840
02/16/2021,01/11/2021,2018-004257-CA-01,2018004257CA01,FAUCTION30402102901702018004257CA01,Accepting Proxy,469911.9,0,330806,U S BANK TRUST NATL ASSN,U S BANK TRUST NATL ASSN,HIDDEN,4621 SW 89 CT,MIAMI,33165,30-4021-029-0170,3040210290170
02/16/2021,01/12/2021,2020-003202-CA-01,2020003202CA01,FAUCTION08212201408102020003202CA01,Accepting Proxy,169803.66,0,252759,"Rekant, Kenneth N","Rekant, Kenneth N",HIDDEN,14101 NW 23 CT,OPA-LOCKA,33054,08-2122-014-0810,0821220140810
