Sale Date,Add Date,Case Number,Formatted Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
02/03/2021,01/20/2021,2019-026583-CA-01,2019026583CA01,FAUCTION20501200201802019026583CA01,Accepting Proxy,4462992.71,0,711928,"HMC ASSETS, LLC","HMC ASSETS, LLC",HIDDEN,6301 SW 114 ST,PINECREST,33156,20-5012-002-0180,2050120020180
02/16/2021,01/21/2021,2017-029079-CA-01,2017029079CA01,FAUCTION30500300010342017029079CA01,Canceled,1266865.47,0,0,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8471 SW 100 ST,MIAMI,33156,30-5003-000-1034,3050030001034
02/17/2021,01/19/2021,2019-031500-CA-01,2019031500CA01,FAUCTION30592601103002019031500CA01,Accepting Proxy,184800.61,0,116508,DEUTSCHE BANK NATIONAL TRUST COMPANY,DEUTSCHE BANK NATIONAL TRUST COMPANY,HIDDEN,15510 SW 133 PL 2506,MIAMI,33177,30-5926-011-0300,3059260110300
02/22/2021,01/20/2021,2020-007221-CC-05,2020007221CC05,FAUCTION01321806220302020007221CC05,Accepting Proxy,19925.42,0,136506,PALM BAY YACHT CLUB CONDOMINIUM ASSOCIATION INC,PALM BAY YACHT CLUB CONDOMINIUM ASSOCIATION INC,HIDDEN,780 NE 69 ST 2309,MIAMI,33138,01-3218-062-2030,0132180622030
02/22/2021,01/21/2021,2019-032360-CA-01,2019032360CA01,FAUCTION30502902900402019032360CA01,Accepting Proxy,337304.61,0,71044,US BANK NATIONAL ASSOCIATION AS  TRUSTEE ON BEHALF,US BANK NATIONAL ASSOCIATION AS  TRUSTEE ON BEHALF,HIDDEN,10261 SW 156 ST,MIAMI,33157,30-5029-029-0040,3050290290040
02/22/2021,01/21/2021,2020-001755-CA-01,2020001755CA01,FAUCTION30400406807202020001755CA01,Accepting Proxy,282294.08,0,228112,NATIONSTAR MORTGAGE LLC ,NATIONSTAR MORTGAGE LLC ,HIDDEN,610 SW 88 CT,MIAMI,33174,30-4004-068-0720,3040040680720
02/23/2021,01/19/2021,2016-022649-CA-01,2016022649CA01,FAUCTION30200303904802016022649CA01,Accepting Proxy,758630.04,0,348806,DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),DEUTSCHE BANK NATIONAL TRUST COMPANY (TR),HIDDEN,7964 NW 186 TER,MIAMI,33015,30-2003-039-0480,3020030390480
02/23/2021,01/19/2021,2018-038934-CA-01,2018038934CA01,FAUCTION34210300700402018038934CA01,Accepting Proxy,131704.58,0,125090,TROPICAL FINANCIAL CREDIT UNION,TROPICAL FINANCIAL CREDIT UNION,HIDDEN,2320 NW 184 ST,MIAMI GARDENS,33056,34-2103-007-0040,3421030070040
03/01/2021,01/19/2021,2016-026322-CA-01,2016026322CA01,FAUCTION30311210614102016026322CA01,Accepting Proxy,132892.73,0,57240,"Sunset Palm Villas Condominium Association, Inc.","Sunset Palm Villas Condominium Association, Inc.",HIDDEN,414 NW 84 ST 414,MIAMI,33150,30-3112-106-1410,3031121061410
03/01/2021,01/21/2021,2016-008624-CA-01,2016008624CA01,FAUCTION30310301108702016008624CA01,Accepting Proxy,238879.2,0,115962,Reverse Mortgage Solutions Inc,Reverse Mortgage Solutions Inc,HIDDEN,1814 NW 92 ST,MIAMI,33147,30-3103-011-0870,3031030110870
03/01/2021,01/21/2021,2018-040054-CA-01,2018040054CA01,FAUCTION34211500603302018040054CA01,Accepting Proxy,196351.4,0,79721,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,1762 NW 154 ST,MIAMI GARDENS,33054,34-2115-006-0330,3421150060330
03/01/2021,01/21/2021,2016-002258-CA-01,2016002258CA01,FAUCTION32201503100302016002258CA01,Accepting Proxy,584847.61,0,241686,"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",HIDDEN,16421 NW 77 PL,MIAMI LAKES,33016,32-2015-031-0030,3220150310030
03/08/2021,01/21/2021,2018-034376-CA-01,2018034376CA01,FAUCTION30592800205802018034376CA01,Accepting Proxy,411335.77,0,0,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,15230 SW 154 AVE,MIAMI,33187,30-5928-002-0580,3059280020580
03/08/2021,01/21/2021,2019-018445-CA-01,2019018445CA01,FAUCTION10792001404902019018445CA01,Accepting Proxy,371343.43,0,345185,"HMC ASSETS, LLC (TR)","HMC ASSETS, LLC (TR)",HIDDEN,2209 SE 19 AVE,HOMESTEAD,33035,10-7920-014-0490,1079200140490
03/08/2021,01/21/2021,2018-037991-CA-01,2018037991CA01,FAUCTION30200303002102018037991CA01,Accepting Proxy,5268.21,0,340204,"Marbella Park West Homeowners Association, Inc.","Marbella Park West Homeowners Association, Inc.",HIDDEN,19906 NW 86 CT,MIAMI,33015,30-2003-030-0210,3020030300210
03/08/2021,01/21/2021,2019-013953-CA-01,2019013953CA01,FAUCTION10792900704202019013953CA01,Accepting Proxy,4575,0,83187,"Venetia Gardens Condominum Association, Inc","Venetia Gardens Condominum Association, Inc",HIDDEN,1250 SE 26 ST 203,HOMESTEAD,33035,10-7929-007-0420,1079290070420
03/08/2021,01/21/2021,2018-024877-CA-01,2018024877CA01,FAUCTION30592800403402018024877CA01,Accepting Proxy,919053.92,0,383940,BANK OF AMERICA NA,BANK OF AMERICA NA,HIDDEN,14835 SW 167 ST,MIAMI,33187,30-5928-004-0340,3059280040340
03/08/2021,01/21/2021,2017-029079-CA-01,2017029079CA01,FAUCTION30500300010342017029079CA01,Accepting Proxy,1266865.47,0,748732,"HMC ASSETS, LLC ","HMC ASSETS, LLC ",HIDDEN,8471 SW 100 ST,MIAMI,33156,30-5003-000-1034,3050030001034
03/08/2021,01/19/2021,2015-010516-CA-01,2015010516CA01,FAUCTION35300800306702015010516CA01,Accepting Proxy,461257.55,0,443003,Helm Bank USA,Helm Bank USA,HIDDEN,8895 NW 100 PL,DORAL,33178,35-3008-003-0670,3530080030670
03/08/2021,01/20/2021,2016-031385-CA-01,2016031385CA01,FAUCTION35302202818802016031385CA01,Accepting Proxy,67534.24,0,141043,"Las Vistas at Doral Condominium Association, Inc.","Las Vistas at Doral Condominium Association, Inc.",HIDDEN,8100 GENEVA WAY 338,DORAL,33166,35-3022-028-1880,3530220281880
03/08/2021,01/20/2021,2015-027058-CA-01,2015027058CA01,FAUCTION30692600519802015027058CA01,Accepting Proxy,454178.82,0,122054,HSBC Bank USA  (NA),HSBC Bank USA  (NA),HIDDEN,13001 SW 260 ST,MIAMI,33032,30-6926-005-1980,3069260051980
03/08/2021,01/20/2021,2017-002390-CA-01,2017002390CA01,FAUCTION04213001022302017002390CA01,Accepting Proxy,357136.36,0,111483,Wilmington Savings Fund Society,Wilmington Savings Fund Society,HIDDEN,6999 W 2 CT,HIALEAH,33014,04-2130-010-2230,0421300102230
03/08/2021,01/19/2021,2013-034398-CA-01,2013034398CA01,FAUCTION30493202411702013034398CA01,Accepting Proxy,573041.76,0,228375,"Wells Fargo Bank N A,","Wells Fargo Bank N A,",HIDDEN,8227 SW 158 AVE,MIAMI,33193,30-4932-024-1170,3049320241170
03/08/2021,01/19/2021,2013-034006-CA-01,2013034006CA01,FAUCTION30790302308002013034006CA01,Accepting Proxy,336825.91,0,155595,"Nationstar Mortgage LLC,","Nationstar Mortgage LLC,",HIDDEN,13843 SW 282 TER,MIAMI,33033,30-7903-023-0800,3079030230800
03/08/2021,01/19/2021,2018-033486-CA-01,2018033486CA01,FAUCTION30492600203402018033486CA01,Accepting Proxy,501018.75,0,237843,WELLS FARGO BANK N A,WELLS FARGO BANK N A,HIDDEN,13423 SW 66 TER,MIAMI,33183,30-4926-002-0340,3049260020340
