Sale Date,Add Date,Database ID,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
03/08/2021,02/18/2021,FAUCTION01323106214202016025007CA01,2016-025007-CA-01,2016025007CA01,Accepting Proxy,910118.9,0,339928,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,1040 BISCAYNE BLVD 2707,MIAMI,33132,01-3231-062-1420,0132310621420
03/09/2021,02/17/2021,FAUCTION30210600335702019003034CA01,2019-003034-CA-01,2019003034CA01,Accepting Proxy,321630.69,0,189935,"HSBC BANK USA, NATIONAL ASSOCIATION","HSBC BANK USA, NATIONAL ASSOCIATION",HIDDEN,5010 NW 191 ST,MIAMI,33055,30-2106-003-3570,3021060033570
03/10/2021,02/16/2021,FAUCTION02322701700802020002103CA01,2020-002103-CA-01,2020002103CA01,Accepting Proxy,160183.85,0,0,"COLLINS AVENUE 18 DEVELOPMENT GROUP, LLC","COLLINS AVENUE 18 DEVELOPMENT GROUP, LLC",HIDDEN,,,,02-3227-017-0080,0232270170080
03/15/2021,02/16/2021,FAUCTION06221901526102020008204CA01,2020-008204-CA-01,2020008204CA01,Accepting Proxy,255194.69,0,216928,PS FUNDING INC,PS FUNDING INC,HIDDEN,1040 NE 141 ST,NORTH MIAMI,33161,06-2219-015-2610,0622190152610
03/16/2021,02/16/2021,FAUCTION28221007522602020023338CA01,2020-023338-CA-01,2020023338CA01,Accepting Proxy,20878.91,0,215100,"Williams Island Property Owners' Association, Inc.","Williams Island Property Owners' Association, Inc.",HIDDEN,1000 ISLAND BLVD 610,AVENTURA,33160,28-2210-075-2260,2822100752260
03/17/2021,02/16/2021,FAUCTION30491203301102020024840CA01,2020-024840-CA-01,2020024840CA01,Accepting Proxy,11001.2,0,166680,"Villa Venezia, a Condominium Association, Inc.","Villa Venezia, a Condominium Association, Inc.",HIDDEN,1221 SW 124 CT 26A,MIAMI,33184,30-4912-033-0110,3049120330110
03/17/2021,02/16/2021,FAUCTION02323405701302019032994CA01,2019-032994-CA-01,2019032994CA01,Accepting Proxy,185021.53,0,158400,Federal Home Loan Mortgage Corporation,Federal Home Loan Mortgage Corporation,HIDDEN,1732 MERIDIAN AVE 203,MIAMI BEACH,33139,02-3234-057-0130,0232340570130
03/17/2021,02/17/2021,FAUCTION30201100804502018020870CC05,2018-020870-CC-05,2018020870CC05,Accepting Proxy,,0,0,Courtyard Villas Condominium Association Inc (The),Courtyard Villas Condominium Association Inc (The),HIDDEN,,,,30-2011-008-0450,3020110080450
03/17/2021,02/17/2021,FAUCTION30682600001162018004694CA01,2018-004694-CA-01,2018004694CA01,Accepting Proxy,16537.37,0,259850,John Abell Corporation,John Abell Corporation,HIDDEN,25100 SW 189 AVE,MIAMI,33031,30-6826-000-0116,3068260000116
03/17/2021,02/18/2021,FAUCTION30210600911902020005118CA01,2020-005118-CA-01,2020005118CA01,Accepting Proxy,73012.92,0,149265,ASPEN PROPERTIES GROUP LLC,ASPEN PROPERTIES GROUP LLC,HIDDEN,19800 NW 51 AVE,MIAMI,33055,30-2106-009-1190,3021060091190
