Database,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION30492200400602018021554CA01,03/24/2021,03/05/2021,2018-021554-CA-01,2018021554CA01,Accepting Proxy,488203.97,0,166438,"HSBC BANK USA, NATIONAL ASSOCIATION, ","HSBC BANK USA, NATIONAL ASSOCIATION, ",HIDDEN,4245 SW 139 CT,MIAMI,33175,30-4922-004-0060,3049220040060
FAUCTION34210101209302019035744CA01,03/31/2021,03/01/2021,2019-035744-CA-01,2019035744CA01,Accepting Proxy,155307.32,0,247423,"Schonbrun, Harvey","Schonbrun, Harvey",HIDDEN,145 NW 198 ST,MIAMI GARDENS,33169,34-2101-012-0930,3421010120930
FAUCTION30311104001102019021245CA01,03/31/2021,03/01/2021,2019-021245-CA-01,2019021245CA01,Accepting Proxy,207570.95,0,93412,MTGLQ INVESTORS LP,MTGLQ INVESTORS LP,HIDDEN,8418 NW 14 AVE,MIAMI,33147,30-3111-040-0110,3031110400110
FAUCTION31220203424902020017916CA01,03/31/2021,03/02/2021,2020-017916-CA-01,2020017916CA01,Accepting Proxy,119239.27,0,86040,"Aventura Beach Club Condominium Association, Inc.","Aventura Beach Club Condominium Association, Inc.",HIDDEN,19201 COLLINS AVE 724,SUNNY ISLES BEACH,33160,31-2202-034-2490,3122020342490
FAUCTION01412108502702014008343CA01,03/31/2021,03/03/2021,2014-008343-CA-01,2014008343CA01,Accepting Proxy,3946809.08,0,2989174,"U S Bank Na,","U S Bank Na,",HIDDEN,3190 MUNROE DR,MIAMI,33133,01-4121-085-0270,0141210850270
FAUCTION30493501701702019030836CA01,04/05/2021,03/02/2021,2019-030836-CA-01,2019030836CA01,Accepting Proxy,291489.88,0,130000,"WELLS FARGO BANK, NATIONAL ASSOCIATION","WELLS FARGO BANK, NATIONAL ASSOCIATION",HIDDEN,8500 SW 133 AVENUE RD 105,MIAMI,33183,30-4935-017-0170,3049350170170
FAUCTION35302707105202019003129CA01,04/05/2021,03/02/2021,2019-003129-CA-01,2019003129CA01,Accepting Proxy,1074708.51,0,981483,5AIF NUTMEG LLC,5AIF NUTMEG LLC,HIDDEN,8210 NW 33 TER,DORAL,33122,35-3027-071-0520,3530270710520
FAUCTION01323106214202016025007CA01,04/05/2021,03/01/2021,2016-025007-CA-01,2016025007CA01,Accepting Proxy,910118.9,0,339928,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,1040 BISCAYNE BLVD 2707,MIAMI,33132,01-3231-062-1420,0132310621420
FAUCTION30493305703002019022134CA01,04/05/2021,03/01/2021,2019-022134-CA-01,2019022134CA01,Accepting Proxy,694264.48,0,264704,FV-I INC ,FV-I INC ,HIDDEN,8246 SW 147 CT,MIAMI,33193,30-4933-057-0300,3049330570300
FAUCTION30491603301502009044324CA01,04/06/2021,03/03/2021,2009-044324-CA-01,2009044324CA01,Accepting Proxy,405157.28,0,326199,"Jpmorgan Chase Bank Natl Assn,","Jpmorgan Chase Bank Natl Assn,",HIDDEN,3021 SW 154 PL,MIAMI,33185,30-4916-033-0150,3049160330150
FAUCTION30590904109802020012160CA01,04/06/2021,03/04/2021,2020-012160-CA-01,2020012160CA01,Accepting Proxy,10213.57,0,226340,Hammocks Community Association Inc,Hammocks Community Association Inc,HIDDEN,14816 SW 104 ST 83,MIAMI,33196,30-5909-041-0980,3059090410980
FAUCTION03410810015102020021077CA01,04/07/2021,03/04/2021,2020-021077-CA-01,2020021077CA01,Accepting Proxy,339058.42,0,353723,AXOS BANK,AXOS BANK,HIDDEN,10 ARAGON AVE 1517,CORAL GABLES,33134,03-4108-100-1510,0341081001510
FAUCTION01311401100702019031104CA01,04/07/2021,03/05/2021,2019-031104-CA-01,2019031104CA01,Accepting Proxy,21873.84,0,0,City of Miami,City of Miami,HIDDEN,,,,01-3114-011-0070,0131140110070
FAUCTION01313403402702019037223CA01,04/07/2021,03/03/2021,2019-037223-CA-01,2019037223CA01,Accepting Proxy,327494.83,0,0,"GIGI INVESTMENTS, INC.","GIGI INVESTMENTS, INC.",HIDDEN,,,,01-3134-034-0270,0131340340270
FAUCTION30600600129302019037223CA01,04/07/2021,03/03/2021,2019-037223-CA-01,2019037223CA01,Accepting Proxy,327494.83,0,0,"GIGI INVESTMENTS, INC.","GIGI INVESTMENTS, INC.",HIDDEN,,,,30-6006-001-2930,3060060012930
FAUCTION30123109800102019012974CA01,04/07/2021,03/03/2021,2019-012974-CA-01,2019012974CA01,Accepting Proxy,119873.28,0,72226,DEUTSCHE BANK NATIONAL TRUST CO TRUSTEE FOR ENCORE,DEUTSCHE BANK NATIONAL TRUST CO TRUSTEE FOR ENCORE,HIDDEN,20680 NE 4 CT 101,MIAMI,33179,30-1231-098-0010,3012310980010
FAUCTION27203303218302018009442CA01,04/07/2021,03/01/2021,2018-009442-CA-01,2018009442CA01,Accepting Proxy,269486.43,0,108699,Wells Fargo Bank NA,Wells Fargo Bank NA,HIDDEN,9348 NW 120 TER 184,HIALEAH GARDENS,33018,27-2033-032-1830,2720330321830
FAUCTION01413811903102017020586CA01,04/12/2021,03/01/2021,2017-020586-CA-01,2017020586CA01,Accepting Proxy,372471.44,0,0,BANK OF NEW YORK MELLON (THE),BANK OF NEW YORK MELLON (THE),HIDDEN,,,,01-4138-119-0310,0141381190310
FAUCTION32201600519702020021029CA01,04/12/2021,03/02/2021,2020-021029-CA-01,2020021029CA01,Accepting Proxy,665307.31,0,512568,"Goldsmith, Gus A.","Goldsmith, Gus A.",HIDDEN,15442 NW 88 CT,MIAMI LAKES,33018,32-2016-005-1970,3220160051970
FAUCTION35302203502502020016188CA01,04/12/2021,03/01/2021,2020-016188-CA-01,2020016188CA01,Accepting Proxy,334019.46,0,460000,"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",HIDDEN,8461 NW 51 TER,DORAL,33166,35-3022-035-0250,3530220350250
FAUCTION01311403622402019030920CA01,04/12/2021,03/01/2021,2019-030920-CA-01,2019030920CA01,Accepting Proxy,142907.76,0,22097,City of Miami,City of Miami,HIDDEN,912 NW 66 ST,MIAMI,33150,01-3114-036-2240,0131140362240
