Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION10792000905702020004473CA01,04/26/2021,03/29/2021,2020-004473-CA-01,2020004473CA01,Accepting Proxy,7816.91,0,139600,"San Remo Homeowners' Association, Inc.","San Remo Homeowners' Association, Inc.",HIDDEN,1909 SAN REMO CIR,HOMESTEAD,33035,10-7920-009-0570,1079200090570
FAUCTION31220203417802020018306CA01,04/27/2021,03/30/2021,2020-018306-CA-01,2020018306CA01,Accepting Proxy,28033.37,0,61500,"Aventura Beach Club Condominium Association, Inc.","Aventura Beach Club Condominium Association, Inc.",HIDDEN,19201 COLLINS AVE 218,SUNNY ISLES BEACH,33160,31-2202-034-1780,3122020341780
FAUCTION34113301202502021001158CA01,04/27/2021,03/31/2021,2021-001158-CA-01,2021001158CA01,Accepting Proxy,148069.47,0,0,MADISON ALAMOSA HECM LLC,MADISON ALAMOSA HECM LLC,HIDDEN,,,,34-1133-012-0250,3411330120250
FAUCTION01323106511502019006377CA01,04/27/2021,03/31/2021,2019-006377-CA-01,2019006377CA01,Accepting Proxy,335764.67,0,0,Opera Tower LLC,Opera Tower LLC,HIDDEN,,,,01-3231-065-1150,0132310651150
FAUCTION28123507123302015013645CA01,05/03/2021,03/30/2021,2015-013645-CA-01,2015013645CA01,Accepting Proxy,55542.91,0,333200,Yacht Club at Aventura Condominium Assoc Inc (The),Yacht Club at Aventura Condominium Assoc Inc (The),HIDDEN,19701 E COUNTRY CLUB DR 5607,AVENTURA,33180,28-1235-071-2330,2812350712330
FAUCTION32201600500502019036206CA01,05/03/2021,03/29/2021,2019-036206-CA-01,2019036206CA01,Accepting Proxy,17449.25,0,526912,Satori Homeowners Association Inc,Satori Homeowners Association Inc,HIDDEN,9105 NW 161 TER,MIAMI LAKES,33018,32-2016-005-0050,3220160050050
FAUCTION30500209203502019012279CA01,05/03/2021,03/29/2021,2019-012279-CA-01,2019012279CA01,Accepting Proxy,30535.68,0,232815,DOWNTOWN DADELAND MASTER ASSOCIATION INC,DOWNTOWN DADELAND MASTER ASSOCIATION INC,HIDDEN,7266 SW 88 ST A309,MIAMI,33156,30-5002-092-0350,3050020920350
FAUCTION30592403004002018020289CA01,05/03/2021,04/02/2021,2018-020289-CA-01,2018020289CA01,Canceled,585396,0,0,DEUTSCHE BANK NATIONAL TRUST COMPANY SOLELY AS TRU,DEUTSCHE BANK NATIONAL TRUST COMPANY SOLELY AS TRU,HIDDEN,,,,30-5924-030-0400,3059240300400
FAUCTION01313402800802019004581CA01,05/04/2021,03/30/2021,2019-004581-CA-01,2019004581CA01,Accepting Proxy,496832.19,0,304452,BANK OF AMERICA NA,BANK OF AMERICA NA,HIDDEN,1934 NW 22 PL,MIAMI,33125,01-3134-028-0080,0131340280080
FAUCTION01020605011502020016861CA01,05/10/2021,03/29/2021,2020-016861-CA-01,2020016861CA01,Accepting Proxy,316987.97,0,272263,"WILMINGTON SAVINGS FUND SOCIETY, FSB,  ","WILMINGTON SAVINGS FUND SOCIETY, FSB,  ",HIDDEN,962 SW 6 AVE,MIAMI,33130,01-0206-050-1150,0102060501150
