Database ID,Sale Date,Add Date,Case Number,Formatted Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
FAUCTION25400607202302020020828CA01,06/02/2021,05/05/2021,2020-020828-CA-01,2020020828CA01,Accepting Proxy,394765.45,0,180539,U.S. BANK TRUST NATIONAL ASSOCIATION,U.S. BANK TRUST NATIONAL ASSOCIATION,HIDDEN,324 NW 114 AVE 6-105,SWEETWATER,33172,25-4006-072-0230,2540060720230
FAUCTION04202508604502020027531CA01,06/02/2021,05/06/2021,2020-027531-CA-01,2020027531CA01,Accepting Proxy,78657.88,0,99750,Partners For Payment Relief De Iv Llc,Partners For Payment Relief De Iv Llc,HIDDEN,8005 W 6 AVE K,HIALEAH,33014,04-2025-086-0450,0420250860450
FAUCTION30693500100102020026425CA01,06/02/2021,05/06/2021,2020-026425-CA-01,2020026425CA01,Accepting Proxy,90529.49,0,153733,WILMINGTON SAVINGS FUND SOCIETY FSB,WILMINGTON SAVINGS FUND SOCIETY FSB,HIDDEN,26601 SW 134 AVE,MIAMI,33032,30-6935-001-0010,3069350010010
FAUCTION30305312402402020022068CC25,06/07/2021,05/06/2021,2020-022068-CC-25,2020022068CC25,Accepting Proxy,8831.04,0,148000,VISIONS AT FOUNTAINBLEAU PARK 1 CONDOMINIUM ASSOCI,VISIONS AT FOUNTAINBLEAU PARK 1 CONDOMINIUM ASSOCI,HIDDEN,8500 NW 8 ST 406,MIAMI,33126,30-3053-124-0240,3030531240240
FAUCTION30493203418402019037273CA01,06/07/2021,05/04/2021,2019-037273-CA-01,2019037273CA01,Accepting Proxy,248100.09,0,357377,ARCPE 1 LLC,ARCPE 1 LLC,HIDDEN,16657 SW 81 TER,MIAMI,33193,30-4932-034-1840,3049320341840
FAUCTION30310301907702020017836CA01,06/07/2021,05/04/2021,2020-017836-CA-01,2020017836CA01,Accepting Proxy,126925.97,0,127849,"Schonbrun (Tr), Harvey","Schonbrun (Tr), Harvey",HIDDEN,2036 NW 97 ST,MIAMI,33147,30-3103-019-0770,3031030190770
FAUCTION02323305000402019010622CA01,06/07/2021,05/05/2021,2019-010622-CA-01,2019010622CA01,Accepting Proxy,299542.57,0,197000,BANK OF NEW YORK MELLON TRUST COMPANY NA,BANK OF NEW YORK MELLON TRUST COMPANY NA,HIDDEN,1245 WEST AVE 501,MIAMI BEACH,33139,02-3233-050-0040,0232330500040
FAUCTION33502803201002019036671CA01,06/07/2021,05/07/2021,2019-036671-CA-01,2019036671CA01,Accepting Proxy,16693.16,0,108170,"CORAL CONDOMINIUM ASSOCIATION, INC.","CORAL CONDOMINIUM ASSOCIATION, INC.",HIDDEN,15385 S DIXIE HWY 10,PALMETTO BAY,33157,33-5028-032-0100,3350280320100
FAUCTION30590800804902018037073CA01,06/14/2021,05/07/2021,2018-037073-CA-01,2018037073CA01,Accepting Proxy,13276.75,0,247271,Hammocks Community Association Inc,Hammocks Community Association Inc,HIDDEN,11250 SW 157 CT,MIAMI,33196,30-5908-008-0490,3059080080490
FAUCTION04203504522402019029771CA01,06/14/2021,05/07/2021,2019-029771-CA-01,2019029771CA01,Accepting Proxy,163277.25,0,56597,US BANK NATIONAL ASSOCIATION (TRUSTEE),US BANK NATIONAL ASSOCIATION (TRUSTEE),HIDDEN,1810 W 56 ST 3306,HIALEAH,33012,04-2035-045-2240,0420350452240
FAUCTION13222703301202020002866CC23,06/14/2021,05/04/2021,2020-002866-CC-23,2020002866CC23,Accepting Proxy,32090.66,0,269739,Bay Roc Condo Assn Inc,Bay Roc Condo Assn Inc,HIDDEN,9180 W BAY HARBOR DR 5C,BAY HARBOR ISLANDS,33154,13-2227-033-0120,1322270330120
FAUCTION02321106428702020002527CA01,06/14/2021,05/05/2021,2020-002527-CA-01,2020002527CA01,Accepting Proxy,53190.67,0,85572,"Casablanca Condominium Association, Inc.","Casablanca Condominium Association, Inc.",HIDDEN,6345 COLLINS AVE PH-41,MIAMI BEACH,33141,02-3211-064-2870,0232110642870
FAUCTION01413705102302018034907CA01,06/14/2021,05/04/2021,2018-034907-CA-01,2018034907CA01,Accepting Proxy,343122.85,0,189150,US BANK TRUST NA AS TRUSTEE FOR LSF9 MASTER PARTIC,US BANK TRUST NA AS TRUSTEE FOR LSF9 MASTER PARTIC,HIDDEN,234 NE 3 ST 202,MIAMI,33132,01-4137-051-0230,0141370510230
FAUCTION01413812709002020007372CA01,06/14/2021,05/04/2021,2020-007372-CA-01,2020007372CA01,Accepting Proxy,174054.91,0,242110,Nubro Corporation of Miami Inc,Nubro Corporation of Miami Inc,HIDDEN,175 SW 7 ST 1702,MIAMI,33130,01-4138-127-0900,0141381270900
FAUCTION04310500504302020020312CA01,06/14/2021,05/04/2021,2020-020312-CA-01,2020020312CA01,Accepting Proxy,375675.91,0,453837,Toorak Capital Partners Llc,Toorak Capital Partners Llc,HIDDEN,3591 E 5 AVE,HIALEAH,33013,04-3105-005-0430,0431050050430
FAUCTION02321401028802021001419CA01,06/14/2021,05/04/2021,2021-001419-CA-01,2021001419CA01,Accepting Proxy,235107.57,0,233900,US BANK N.A. as Indenture Trustee for VCC 2020-MC1,US BANK N.A. as Indenture Trustee for VCC 2020-MC1,235107.57,5555 COLLINS AVE 9Z,MIAMI BEACH,33140,02-3214-010-2880,0232140102880
FAUCTION01413912812902020016723CA01,06/14/2021,05/05/2021,2020-016723-CA-01,2020016723CA01,Accepting Proxy,602384.37,0,529658,"WILMINGTON SAVINGS FUND SOCIETY, FSB, NOT ITS INDI","WILMINGTON SAVINGS FUND SOCIETY, FSB, NOT ITS INDI",HIDDEN,1451 BRICKELL AVE 2704,MIAMI,33131,01-4139-128-1290,0141391281290
FAUCTION03412002505512019035703CA01,06/14/2021,05/06/2021,2019-035703-CA-01,2019035703CA01,Accepting Proxy,562512.68,0,281997,"SUN WEST MORTGAGE COMPANY, INC","SUN WEST MORTGAGE COMPANY, INC",HIDDEN,216 JEFFERSON DR,CORAL GABLES,33133,03-4120-025-0551,0341200250551
FAUCTION03410806200902020006624CA01,06/15/2021,05/07/2021,2020-006624-CA-01,2020006624CA01,Accepting Proxy,,0,0,"Aspelly, Claire","Aspelly, Claire",HIDDEN,,,,03-4108-062-0090,0341080620090
FAUCTION30220501102002018017350CC23,06/16/2021,05/06/2021,2018-017350-CC-23,2018017350CC23,Accepting Proxy,20740.54,0,81070,Second Moorings Condo Inc,Second Moorings Condo Inc,HIDDEN,1551 NE MIAMI GARDENS DR 135,MIAMI,33179,30-2205-011-0200,3022050110200
