Sale Date,Add Date,Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio,My Bid
03/11/2021,01/04/2021,2020A01138,TAXACT1312301208002020A01138,Accepting Proxy,0,4402.21,12459,,,HIDDEN,1203 NW 51 TER,MIAMI,33142-3817,01-3123-012-0800,0131230120800,
03/11/2021,01/04/2021,2020A01144,TAXACT1311403514102020A01144,Accepting Proxy,0,8828.67,78279,,,HIDDEN,1460 NW 60 ST,MIAMI,33142-8109,01-3114-035-1410,0131140351410,
03/11/2021,01/04/2021,2020A01146,TAXACT1311305103602020A01146,Accepting Proxy,0,12002.91,149729,,,HIDDEN,33 NE 59 TER,MIAMI,33137-2014,01-3113-051-0360,0131130510360,
03/11/2021,01/04/2021,2020A01147,TAXACT1311302407302020A01147,Accepting Proxy,0,12549.33,133618,,,HIDDEN,7000 NW 5 PL,MIAMI,33150-3916,01-3113-024-0730,0131130240730,
03/11/2021,01/05/2021,2020A01148,TAXACT30211401003102020A01148,Accepting Proxy,0,4299.37,61635,,,HIDDEN,15600 NW 7 AVE,MIAMI,33169-6251,30-2114-010-0310,3021140100310,
03/11/2021,01/05/2021,2020A01150,TAXACT30782600001802020A01150,Accepting Proxy,0,9292.29,146032,,,HIDDEN,VACANT LOT,MIAMI,33034-0000,30-7826-000-0180,3078260000180,
03/11/2021,01/05/2021,2020A01154,TAXACT30312202503202020A01154,Accepting Proxy,0,6887.98,59145,,,HIDDEN,4300 NW 23 AVE,MIAMI,33142-4606,30-3122-025-0320,3031220250320,
03/11/2021,01/05/2021,2020A01155,TAXACT30220504815002020A01155,Accepting Proxy,0,11653.11,73188,,,HIDDEN,1750 NE 191 ST,MIAMI,33179-4284,30-2205-048-1500,3022050481500,
03/11/2021,01/05/2021,2020A01156,TAXACT30790600002952020A01156,Accepting Proxy,0,1830.67,24000,,,HIDDEN,VACANT LOT,MIAMI,33030,30-7906-000-0295,3079060000295,
03/11/2021,01/05/2021,2020A01157,TAXACT34211203707602020A01157,Accepting Proxy,0,3934.08,34878,,,HIDDEN,271 NW 177 ST,MIAMI GARDENS,33169-4917,34-2112-037-0760,3421120370760,
03/11/2021,01/06/2021,2020A01151,TAXACT30220503316902020A01151,Accepting Proxy,0,15765.58,92662,,,HIDDEN,1670 NE 191 ST,MIAMI,33179-4100,30-2205-033-1690,3022050331690,
03/11/2021,01/06/2021,2020A01158,TAXACT30581500010732020A01158,Accepting Proxy,0,7719.55,120250,,,HIDDEN,VACANT LOT,MIAMI,33196-1838,30-5815-000-1073,3058150001073,
03/11/2021,01/06/2021,2020A01200,TAXACT1312400116702020A01200,Accepting Proxy,0,10567.88,105750,,,HIDDEN,569 NW 47 TER,MIAMI,33127-2454,01-3124-001-1670,0131240011670,
03/11/2021,01/06/2021,2020A01201,TAXACT1312402408502020A01201,Accepting Proxy,0,25478.36,329034,,,HIDDEN,29 NE 42 ST,MIAMI,33137-3523,01-3124-024-0850,0131240240850,
03/11/2021,01/06/2021,2020A01202,TAXACT1323106803402020A01202,Accepting Proxy,0,36528.09,386420,,,HIDDEN,888 BISCAYNE BLVD,MIAMI,33132-1804,01-3231-068-0340,0132310680340,
