Sale Date,Add Date,Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
02/18/2021,01/27/2021,2020A01000,TAXACT30590302402502020A01000,Canceled,0,645.68,,,,HIDDEN,14293 SW 94 CIRCLE LN,MIAMI,33186-7834,30-5903-024-0250,3059030240250
04/08/2021,01/27/2021,2020A01193,TAXACT01410502802402020A01193,Accepting Proxy,0,17782.07,271654,,,HIDDEN,4491 SW 1 ST,MIAMI,33134-1520,01-4105-028-0240,0141050280240
04/08/2021,01/27/2021,2020A01280,TAXACT35301903913102020A01280,Accepting Proxy,0,6928.8,260000,,,HIDDEN,11236 NW 56 ST,DORAL,33178-3874,35-3019-039-1310,3530190391310
04/08/2021,01/27/2021,2020A01099,TAXACT30312201424002020A01099,Accepting Proxy,0,6897.61,68910,,,HIDDEN,1923 NW 48 ST,MIAMI,33142-4057,30-3122-014-2400,3031220142400
04/08/2021,01/27/2021,2020A01281,TAXACT30220701603702020A01281,Accepting Proxy,0,59975.69,106508,,,HIDDEN,875 NE 173 TER,MIAMI,33162-2153,30-2207-016-0370,3022070160370
04/08/2021,01/28/2021,2020A01174,TAXACT02323303905802020A01174,Accepting Proxy,0,15772.72,205700,,,HIDDEN,1228 WEST AVE,MIAMI BEACH,33139-4381,02-3233-039-0580,0232330390580
04/08/2021,01/28/2021,2020A01194,TAXACT01323106810902020A01194,Accepting Proxy,0,25088.8,256518,,,HIDDEN,888 BISCAYNE BLVD,MIAMI,33132-1804,01-3231-068-1090,0132310681090
04/08/2021,01/28/2021,2020A01376,TAXACT02323405002002020A01376,Accepting Proxy,0,7153.56,133200,,,HIDDEN,1250 ALTON RD,MIAMI BEACH,33139-3881,02-3234-050-0200,0232340500200
04/08/2021,01/28/2021,2020A01179,TAXACT01413706221402020A01179,Accepting Proxy,0,25971.89,281465,,,HIDDEN,300 S BISCAYNE BLVD,MIAMI,33131-0000,01-4137-062-2140,0141370622140
04/08/2021,01/28/2021,2020A01180,TAXACT01321900902802020A01180,Accepting Proxy,0,59456.43,469609,,,HIDDEN,210 NE 44 ST,MIAMI,33137-3434,01-3219-009-0280,0132190090280
04/08/2021,01/28/2021,2020A01397,TAXACT34211400703312020A01397,Accepting Proxy,0,21253.94,260942,,,HIDDEN,VACANT LOT,MIAMI GARDENS,33169-0000,34-2114-007-0331,3421140070331
04/08/2021,01/28/2021,2020A01262,TAXACT28123508603902020A01262,Accepting Proxy,0,14693.64,196700,,,HIDDEN,3300 NE 191 ST,AVENTURA,33180-2451,28-1235-086-0390,2812350860390
04/08/2021,01/28/2021,2020A01181,TAXACT01312503300102020A01181,Accepting Proxy,0,73414.24,1573074,,,HIDDEN,235 NW 25 ST,MIAMI,33127-4329,01-3125-033-0010,0131250330010
04/08/2021,01/28/2021,2020A01263,TAXACT30211401007602020A01263,Accepting Proxy,0,3986.73,51989,,,HIDDEN,15600 NW 7 AVE,MIAMI,33169-6251,30-2114-010-0760,3021140100760
04/08/2021,01/28/2021,2020A01398,TAXACT30691200802902020A01398,Accepting Proxy,0,2799.59,25824,,,HIDDEN,VACANT LOT,MIAMI,33170-2853,30-6912-008-0290,3069120080290
04/08/2021,01/28/2021,2020A01399,TAXACT30782600607002020A01399,Accepting Proxy,0,1656.14,8784,,,HIDDEN,VACANT LOT,MIAMI,33034-0000,30-7826-006-0700,3078260060700
04/08/2021,01/29/2021,2020A01267,TAXACT30493301303102020A01267,Accepting Proxy,0,4377.84,89169,,,HIDDEN,15464 SW 85 LN,MIAMI,33193-1206,30-4933-013-0310,3049330130310
04/08/2021,01/29/2021,2020A01401,TAXACT30311500554102020A01401,Accepting Proxy,0,7216.01,9825,,,HIDDEN,VACANT LOT,MIAMI,33147-0000,30-3115-005-5410,3031150055410
04/08/2021,01/29/2021,2020A01268,TAXACT35302202904302020A01268,Accepting Proxy,0,8931.89,142000,,,HIDDEN,4804 NW 79 AVE,DORAL,33166-5446,35-3022-029-0430,3530220290430
04/08/2021,01/29/2021,2020A01402,TAXACT30312103300502020A01402,Accepting Proxy,0,2946.06,21175,,,HIDDEN,VACANT LOT,MIAMI,33142-4453,30-3121-033-0050,3031210330050
04/08/2021,01/29/2021,2020A01270,TAXACT10792901435602020A01270,Accepting Proxy,0,10350.43,88511,,,HIDDEN,1663 SE 27 DR,HOMESTEAD,33035-2491,10-7929-014-3560,1079290143560
04/08/2021,01/29/2021,2020A01404,TAXACT30311503500702020A01404,Accepting Proxy,0,848.84,19057,,,HIDDEN,VACANT LOT,MIAMI,33147-7737,30-3115-035-0070,3031150350070
04/08/2021,01/29/2021,2020A01264,TAXACT30403203800502020A01264,Accepting Proxy,0,8784.86,138200,,,HIDDEN,8015 SW 107 AVE,MIAMI,33173-4843,30-4032-038-0050,3040320380050
04/08/2021,01/29/2021,2020A01271,TAXACT30305311610902020A01271,Accepting Proxy,0,7207.91,96089,,,HIDDEN,8320 NW 8 ST,MIAMI,33126-3980,30-3053-116-1090,3030531161090
04/08/2021,01/26/2021,2020A00758,TAXACT12222604329602020A00758,Accepting Proxy,0,14435.24,313310,,,HIDDEN,10275 COLLINS AVE,BAL HARBOUR,33154-1417,12-2226-043-2960,1222260432960
04/08/2021,01/26/2021,2020A00862,TAXACT30223206105102020A00862,Accepting Proxy,0,13876.84,192280,,,HIDDEN,11111 BISCAYNE BLVD,MIAMI,33181-0000,30-2232-061-0510,3022320610510
04/08/2021,01/26/2021,2020A01182,TAXACT02322704509802020A01182,Accepting Proxy,0,151264.64,1309138,,,HIDDEN,102 24 ST,MIAMI BEACH,33139-1608,02-3227-045-0980,0232270450980
04/08/2021,01/26/2021,2020A01296,TAXACT30491208314102020A01296,Accepting Proxy,0,2633.18,94919,,,HIDDEN,2075 SW 122 AVE,MIAMI,33175-7375,30-4912-083-1410,3049120831410
04/08/2021,01/26/2021,2020A01297,TAXACT30492300809902020A01297,Accepting Proxy,0,77049.63,136964,,,HIDDEN,12878 SW 53 ST,MIAMI,33175-5416,30-4923-008-0990,3049230080990
04/08/2021,01/26/2021,2020A01183,TAXACT01410903604002020A01183,Accepting Proxy,0,126235.32,221998,,,HIDDEN,3171 SW 20 ST,MIAMI,33145-2345,01-4109-036-0400,0141090360400
04/08/2021,01/26/2021,2020A00876,TAXACT30312102311302020A00876,Accepting Proxy,0,2572.03,18355,,,HIDDEN,VACANT LOT,MIAMI,33142-3526,30-3121-023-1130,3031210231130
04/08/2021,01/26/2021,2020A01184,TAXACT01312508716902020A01184,Accepting Proxy,0,37721.08,405460,,,HIDDEN,3250 NE 1 AVE,MIAMI,33137-4191,01-3125-087-1690,0131250871690
04/08/2021,01/26/2021,2020A01304,TAXACT28220202320802020A01304,Accepting Proxy,0,24525.27,265000,,,HIDDEN,3600 MYSTIC POINTE DR,AVENTURA,33180-2565,28-2202-023-2080,2822020232080
04/08/2021,01/26/2021,2020A00971,TAXACT35300700612602020A00971,Accepting Proxy,0,10551.98,311000,,,HIDDEN,11058 NW 87 ST,DORAL,33178-2324,35-3007-006-1260,3530070061260
04/08/2021,01/26/2021,2020A01305,TAXACT28221000417002020A01305,Accepting Proxy,0,8272.13,90000,,,HIDDEN,2980 POINT EAST DR,AVENTURA,33160-5024,28-2210-004-1700,2822100041700
04/08/2021,01/26/2021,2020A00991,TAXACT34211203701302020A00991,Accepting Proxy,0,4745.42,42050,,,HIDDEN,251 NW 177 ST,MIAMI GARDENS,33169-4917,34-2112-037-0130,3421120370130
04/08/2021,01/26/2021,2020A01027,TAXACT36601700701202020A01027,Accepting Proxy,0,11475.65,148555,,,HIDDEN,21600 SW 98 PL,CUTLER BAY,33190-1150,36-6017-007-0120,3660170070120
04/08/2021,01/27/2021,2020A01187,TAXACT01420700417702020A01187,Accepting Proxy,0,16979.45,167873,,,HIDDEN,770 CLAUGHTON ISLAND DR,MIAMI,33131-2617,01-4207-004-1770,0142070041770
04/08/2021,01/27/2021,2020A01273,TAXACT02323306307802020A01273,Accepting Proxy,0,31915.69,362000,,,HIDDEN,1621 BAY RD,MIAMI BEACH,33139-3250,02-3233-063-0780,0232330630780
04/08/2021,01/27/2021,2020A01036,TAXACT06212601630802020A01036,Accepting Proxy,0,11115.08,126339,,,HIDDEN,1240 NW 122 ST,NORTH MIAMI,33167-2827,06-2126-016-3080,0621260163080
04/08/2021,01/27/2021,2020A01191,TAXACT01400101202202020A01191,Accepting Proxy,0,4901.44,327764,,,HIDDEN,55 SW 60 CT,MIAMI,33144-3216,01-4001-012-0220,0140010120220
04/08/2021,01/27/2021,2020A01276,TAXACT25400608300602020A01276,Accepting Proxy,0,9304.52,126000,,,HIDDEN,500 NW 114 AVE,SWEETWATER,33172-4710,25-4006-083-0060,2540060830060
04/08/2021,01/27/2021,2020A01307,TAXACT30220605103202020A01307,Accepting Proxy,0,67202.93,119551,,,HIDDEN,580 NE 199 TER,MIAMI,33179-3049,30-2206-051-0320,3022060510320
04/08/2021,01/27/2021,2020A01347,TAXACT30590801500702020A01347,Accepting Proxy,0,10601.77,125000,,,HIDDEN,10410 SW 157 CT,MIAMI,33196-4204,30-5908-015-0070,3059080150070
04/08/2021,01/27/2021,2020A01363,TAXACT10781201400802020A01363,Accepting Proxy,0,7116.93,143617,,,HIDDEN,790 NW 9 CT,HOMESTEAD,33030-4144,10-7812-014-0080,1078120140080
04/08/2021,01/27/2021,2020A01192,TAXACT01312300609302020A01192,Accepting Proxy,0,10145.26,58800,,,HIDDEN,900 NW 52 ST,MIAMI,33127-2026,01-3123-006-0930,0131230060930
04/08/2021,01/27/2021,2020A01277,TAXACT01323008801402020A01277,Accepting Proxy,0,80412.15,153817,,,HIDDEN,2200 NE 4 AVE,MIAMI,33137-5115,01-3230-088-0140,0132300880140
