Sale Date,Add Date,Case Number,Database ID,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
04/08/2021,02/01/2021,2020A01282,TAXACT30400409611602020A01282,Accepting Proxy,0,3055.27,116550,,,HIDDEN,9351 FONTAINEBLEAU BLVD,MIAMI,33172-4259,30-4004-096-1160,3040040961160
04/08/2021,02/01/2021,2020A01283,TAXACT30693500100502020A01283,Accepting Proxy,0,10124.93,139162,,,HIDDEN,26721 SW 134 AVE,MIAMI,33032-7734,30-6935-001-0050,3069350010050
04/08/2021,02/01/2021,2020A01284,TAXACT06212601601002020A01284,Accepting Proxy,0,13273.48,173125,,,HIDDEN,1096 NW 120 ST,NORTH MIAMI,33168-6331,06-2126-016-0100,0621260160100
04/08/2021,02/01/2021,2020A01287,TAXACT30221907400202020A01287,Accepting Proxy,0,5628.92,56367,,,HIDDEN,230 NE 141 ST,MIAMI,33161-2824,30-2219-074-0020,3022190740020
04/08/2021,02/01/2021,2020A01288,TAXACT32201301700802020A01288,Accepting Proxy,0,2824.3,111892,,,HIDDEN,6305 GAGE PL,MIAMI LAKES,33014-2323,32-2013-017-0080,3220130170080
04/08/2021,02/01/2021,2020A01291,TAXACT06223007803802020A01291,Accepting Proxy,0,3788.33,34663,,,HIDDEN,12955 NE 6 AVE,NORTH MIAMI,33161-7751,06-2230-078-0380,0622300780380
04/08/2021,02/01/2021,2020A01292,TAXACT07220703100102020A01292,Accepting Proxy,0,17632.18,271289,,,HIDDEN,400 EAST DR,NORTH MIAMI BEACH,33162-1928,07-2207-031-0010,0722070310010
04/08/2021,02/01/2021,2020A01293,TAXACT10791000600402020A01293,Accepting Proxy,0,14567.88,118987,,,HIDDEN,2306 NE 42 CIR,HOMESTEAD,33033-6606,10-7910-006-0040,1079100060040
04/08/2021,02/01/2021,2020A01294,TAXACT30400304406802020A01294,Accepting Proxy,0,3572.67,154350,,,HIDDEN,650 NW 86 PL,MIAMI,33126-6832,30-4003-044-0680,3040030440680
04/22/2021,02/02/2021,2020A01249,TAXACT30493310504402020A01249,Accepting Proxy,0,8701.21,126331,,,HIDDEN,15455 SW 74 CIRCLE CT,MIAMI,33193-2072,30-4933-105-0440,3049331050440
04/22/2021,02/02/2021,2020A01328,TAXACT13222711404002020A01328,Accepting Proxy,0,38796.25,448960,,,HIDDEN,9821 E BAY HARBOR DR,BAY HARBOR ISLANDS,33154-1744,13-2227-114-0400,1322271140400
04/22/2021,02/02/2021,2020A00169,TAXACT06222904906702020A00169,Accepting Proxy,0,124211.94,183509,,,HIDDEN,976 NE 133 ST,NORTH MIAMI,33161-4122,06-2229-049-0670,0622290490670
04/22/2021,02/02/2021,2020A01330,TAXACT23320903601002020A01330,Accepting Proxy,0,8958.77,119350,,,HIDDEN,7928 WEST DR,NORTH BAY VILLAGE,33141-5552,23-3209-036-0100,2332090360100
04/22/2021,02/02/2021,2020A01215,TAXACT02322601800402020A01215,Accepting Proxy,0,6424.77,312056,,,HIDDEN,4141 COLLINS AVE,MIAMI BEACH,33140-3208,02-3226-018-0040,0232260180040
04/22/2021,02/02/2021,2020A01250,TAXACT34113301503102020A01250,Accepting Proxy,0,14315.8,152992,,,HIDDEN,2740 NW 208 TER,MIAMI GARDENS,33056-1437,34-1133-015-0310,3411330150310
04/22/2021,02/02/2021,2020A01331,TAXACT34210501402602020A01331,Accepting Proxy,0,19509.88,31568,,,HIDDEN,19325 NW 46 AVE,MIAMI GARDENS,33055-2160,34-2105-014-0260,3421050140260
04/22/2021,02/02/2021,2020A01359,TAXACT02420309712902020A01359,Accepting Proxy,0,30355.43,476052,,,HIDDEN,465 OCEAN DR,MIAMI BEACH,33139-6645,02-4203-097-1290,0242030971290
