Sale Date,Add Date,Database ID,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
03/11/2021,02/19/2021,TAXACT02323307925102019A01185,2019A01185,Canceled,0,39916.43,,,,HIDDEN,1500 BAY RD,Miami Beach,33139-3252,02-3233-079-2510,0232330792510
03/11/2021,02/19/2021,TAXACT02323306915502020A00736,2020A00736,Canceled,0,8234.76,317000,,,HIDDEN,1330 WEST AVE,MIAMI BEACH,33139-0900,02-3233-069-1550,0232330691550
03/11/2021,02/24/2021,TAXACT30503200004322020A00331,2020A00331,Canceled,0,815.53,,,,HIDDEN,VACANT LOT,MIAMI,33157-0000,30-5032-000-0432,3050320000432
05/13/2021,02/24/2021,TAXACT02321108101702020A01513,2020A01513,Accepting Proxy,0,8527.13,86000,,,HIDDEN,6895 BYRON AVE,MIAMI BEACH,33141-3833,02-3211-081-0170,0232110810170
05/13/2021,02/24/2021,TAXACT30400300606602020A00029,2020A00029,Accepting Proxy,0,16163.56,221895,,,HIDDEN,VACANT LOT,MIAMI,33144-2010,30-4003-006-0660,3040030060660
05/13/2021,02/25/2021,TAXACT06222907807702020A01457,2020A01457,Accepting Proxy,0,5700.45,38172,,,HIDDEN,12500 NE 15 AVE,NORTH MIAMI,33161-6017,06-2229-078-0770,0622290780770
05/13/2021,02/25/2021,TAXACT30693400404002020A01514,2020A01514,Accepting Proxy,0,119506.18,206288,,,HIDDEN,26520 S DIXIE HWY,MIAMI,33032-7427,30-6934-004-0400,3069340040400
05/13/2021,02/25/2021,TAXACT06222906601902020A00479,2020A00479,Accepting Proxy,0,45038.24,35659,,,HIDDEN,1515 NE 125 TER,NORTH MIAMI,33161-5241,06-2229-066-0190,0622290660190
05/13/2021,02/25/2021,TAXACT30501900162702020A01433,2020A01433,Accepting Proxy,0,10758.09,254100,,,HIDDEN,VACANT LOT,MIAMI,33176-0000,30-5019-001-6270,3050190016270
05/13/2021,02/25/2021,TAXACT04213201302102020A01458,2020A01458,Accepting Proxy,0,31343.62,340022,,,HIDDEN,1071 E 49 ST,HIALEAH,33013-0000,04-2132-013-0210,0421320130210
05/13/2021,02/25/2021,TAXACT30693500001512020A01515,2020A01515,Accepting Proxy,0,3506.69,31500,,,HIDDEN,VACANT LOT,MIAMI,33032-0000,30-6935-000-0151,3069350000151
05/13/2021,02/25/2021,TAXACT30590303317702020A01435,2020A01435,Accepting Proxy,0,51120.7,230000,,,HIDDEN,13891 SW 102 TER,MIAMI,33186-7303,30-5903-033-1770,3059030331770
05/13/2021,02/25/2021,TAXACT30310901601322020A01517,2020A01517,Accepting Proxy,0,10152.11,132100,,,HIDDEN,7440 NW 31 AVE,MIAMI,33147-5906,30-3109-016-0132,3031090160132
05/13/2021,02/25/2021,TAXACT30693500001502020A01518,2020A01518,Accepting Proxy,0,2656.47,21750,,,HIDDEN,VACANT LOT,MIAMI,33032-0000,30-6935-000-0150,3069350000150
05/13/2021,02/25/2021,TAXACT10791800808602020A01436,2020A01436,Accepting Proxy,0,12980.68,54450,,,HIDDEN,VACANT LOT,HOMESTEAD,33030-0000,10-7918-008-0860,1079180080860
05/13/2021,02/25/2021,TAXACT30312102613502020A01437,2020A01437,Accepting Proxy,0,1515.12,9293,,,HIDDEN,VACANT LOT,MIAMI,33142-0000,30-3121-026-1350,3031210261350
