Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT30220600801002020A01468,05/13/2021,03/01/2021,2020A01468,Accepting Proxy,0,3644.63,37908,,,HIDDEN,245 NE 191 ST,MIAMI,33179-3891,30-2206-008-0100,3022060080100
TAXACT30493311237502020A01474,05/13/2021,03/01/2021,2020A01474,Accepting Proxy,0,6684.06,100896,,,HIDDEN,14961 SW 82 LN,MIAMI,33193-3108,30-4933-112-3750,3049331123750
TAXACT28123501114802020A00885,05/13/2021,03/01/2021,2020A00885,Accepting Proxy,0,13545.22,173700,,,HIDDEN,3475 N COUNTRY CLUB DR,AVENTURA,33180-1728,28-1235-011-1480,2812350111480
TAXACT30693500000712020A01475,05/13/2021,03/01/2021,2020A01475,Accepting Proxy,0,2676.37,19500,,,HIDDEN,VACANT LOT,MIAMI,33032-0000,30-6935-000-0071,3069350000071
TAXACT30693500000742020A01476,05/13/2021,03/01/2021,2020A01476,Accepting Proxy,0,4156.03,38250,,,HIDDEN,VACANT LOT,MIAMI,33032-0000,30-6935-000-0074,3069350000074
TAXACT30223209300702020A00900,05/13/2021,03/01/2021,2020A00900,Accepting Proxy,0,7736.86,74304,,,HIDDEN,1350 NE 119 ST,MIAMI,33161-6567,30-2232-093-0070,3022320930070
TAXACT01311403522802020A01480,05/13/2021,03/01/2021,2020A01480,Accepting Proxy,0,3677.7,24250,,,HIDDEN,VACANT LOT,MIAMI,33142-8117,01-3114-035-2280,0131140352280
TAXACT01312301400102020A01481,05/13/2021,03/01/2021,2020A01481,Accepting Proxy,0,10695.03,86103,,,HIDDEN,VACANT LOT,MIAMI,33142-4105,01-3123-014-0010,0131230140010
TAXACT30691202306202020A00929,05/13/2021,03/01/2021,2020A00929,Accepting Proxy,0,10254.41,101680,,,HIDDEN,20030 SW 123 DR,MIAMI,33177-5203,30-6912-023-0620,3069120230620
TAXACT01312303801502020A01482,05/13/2021,03/01/2021,2020A01482,Canceled,0,4082.55,44792,,,HIDDEN,VACANT LOT,MIAMI,33142-4893,01-3123-038-0150,0131230380150
TAXACT34113300530102020A00933,05/13/2021,03/01/2021,2020A00933,Accepting Proxy,0,53044.55,204163,,,HIDDEN,21101 NW 37 AVE,MIAMI GARDENS,33056-1055,34-1133-005-3010,3411330053010
TAXACT30213603202902020A01521,05/13/2021,03/02/2021,2020A01521,Canceled,0,6433.83,86400,,,HIDDEN,VACANT LOT,MIAMI,33168-2518,30-2136-032-0290,3021360320290
TAXACT30500705403502020A01298,05/13/2021,03/02/2021,2020A01298,Accepting Proxy,0,37143.5,68654,,,HIDDEN,10985 SW 107 ST,MIAMI,33176-3317,30-5007-054-0350,3050070540350
TAXACT30311504203712020A01440,05/13/2021,03/02/2021,2020A01440,Accepting Proxy,0,2490.86,16704,,,HIDDEN,VACANT LOT,MIAMI,33142-2975,30-3115-042-0371,3031150420371
TAXACT30312202501502020A01522,05/13/2021,03/02/2021,2020A01522,Accepting Proxy,0,8899.93,59048,,,HIDDEN,4645 NW 23 CT,MIAMI,33142-4615,30-3122-025-0150,3031220250150
TAXACT36600400718702020A01301,05/13/2021,03/02/2021,2020A01301,Accepting Proxy,0,40787.14,290326,,,HIDDEN,8970 CARIBBEAN BLVD,CUTLER BAY,33157-7154,36-6004-007-1870,3660040071870
TAXACT09402502001002020A01302,05/13/2021,03/02/2021,2020A01302,Accepting Proxy,0,18224.6,212250,,,HIDDEN,6126 SW 58 ST,SOUTH MIAMI,33143-2217,09-4025-020-0100,0940250200100
TAXACT04213201208102020A01443,05/13/2021,03/02/2021,2020A01443,Accepting Proxy,0,15071.77,170013,,,HIDDEN,6123 E 5 AVE,HIALEAH,33013-1111,04-2132-012-0810,0421320120810
TAXACT02420320500502020A01484,05/13/2021,03/02/2021,2020A01484,Accepting Proxy,0,18560.32,214500,,,HIDDEN,934 MICHIGAN AVE,MIAMI BEACH,33139-5365,02-4203-205-0050,0242032050050
TAXACT01311404104202020A01523,05/13/2021,03/02/2021,2020A01523,Accepting Proxy,0,16288.14,157300,,,HIDDEN,1235 NW 54 ST,MIAMI,33142-0000,01-3114-041-0420,0131140410420
TAXACT12222600800802020A01444,05/13/2021,03/02/2021,2020A01444,Accepting Proxy,0,23544.81,263300,,,HIDDEN,10170 COLLINS AVE,BAL HARBOUR,33154-1651,12-2226-008-0080,1222260080080
TAXACT03411704706102020A01485,05/13/2021,03/02/2021,2020A01485,Accepting Proxy,0,25338.37,278482,,,HIDDEN,357 ALMERIA AVE,CORAL GABLES,33134-5801,03-4117-047-0610,0341170470610
TAXACT06222907802202020A01303,05/13/2021,03/02/2021,2020A01303,Accepting Proxy,0,4429.01,27370,,,HIDDEN,12500 NE 15 AVE,NORTH MIAMI,33161-6017,06-2229-078-0220,0622290780220
TAXACT30691200404402020A01445,05/13/2021,03/02/2021,2020A01445,Accepting Proxy,0,3275.6,23190,,,HIDDEN,VACANT LOT,MIAMI,33177-0000,30-6912-004-0440,3069120040440
TAXACT04301201902812020A01524,05/13/2021,03/02/2021,2020A01524,Accepting Proxy,0,17662,203981,,,HIDDEN,2421 W 9 LN,HIALEAH,33010-2009,04-3012-019-0281,0430120190281
TAXACT03502401201002020A01486,05/13/2021,03/02/2021,2020A01486,Accepting Proxy,0,16933.8,201162,,,HIDDEN,13660 SW 60 AVE,CORAL GABLES,33158-2802,03-5024-012-0100,0350240120100
TAXACT02322600804702020A01526,05/13/2021,03/02/2021,2020A01526,Accepting Proxy,0,4592.82,40887,,,HIDDEN,3621 COLLINS AVE,MIAMI BEACH,33140-0000,02-3226-008-0470,0232260080470
TAXACT04300204700112020A01487,05/13/2021,03/02/2021,2020A01487,Accepting Proxy,0,59740.88,103986,,,HIDDEN,1392 W 39 PL,HIALEAH,33012-4778,04-3002-047-0011,0430020470011
TAXACT30213603203002020A01529,05/13/2021,03/02/2021,2020A01529,Canceled,0,4229.42,55984,,,HIDDEN,VACANT LOT,MIAMI,33168-2518,30-2136-032-0300,3021360320300
TAXACT30311500567302020A01530,05/13/2021,03/02/2021,2020A01530,Accepting Proxy,0,4730.5,106290,,,HIDDEN,1865 NW 69 TER,MIAMI,33147-6921,30-3115-005-6730,3031150056730
TAXACT30591407000302020A01392,05/13/2021,03/02/2021,2020A01392,Accepting Proxy,0,14479.83,167706,,,HIDDEN,13435 SW 128 ST,MIAMI,33186-5823,30-5914-070-0030,3059140700030
TAXACT30312102616702020A01441,05/13/2021,03/03/2021,2020A01441,Accepting Proxy,0,1910.93,9293,,,HIDDEN,VACANT LOT,MIAMI,33142-4418,30-3121-026-1670,3031210261670
TAXACT30312103707502020A01446,05/13/2021,03/03/2021,2020A01446,Accepting Proxy,0,2744.86,18398,,,HIDDEN,VACANT LOT,MIAMI,33142-3560,30-3121-037-0750,3031210370750
TAXACT06212502602602020A01488,05/13/2021,03/03/2021,2020A01488,Accepting Proxy,0,69096.07,124141,,,HIDDEN,12620 NE MIAMI PL,NORTH MIAMI,33161-4563,06-2125-026-0260,0621250260260
TAXACT07211200900702020A01489,05/13/2021,03/03/2021,2020A01489,Accepting Proxy,0,5087.77,62889,,,HIDDEN,VACANT LOT,NORTH MIAMI BEACH,33169-0000,07-2112-009-0070,0721120090070
TAXACT30311500565102020A01447,05/13/2021,03/03/2021,2020A01447,Accepting Proxy,0,9119.49,24951,,,HIDDEN,VACANT LOT,MIAMI,33147-6930,30-3115-005-6510,3031150056510
TAXACT30312102613402020A01448,05/13/2021,03/03/2021,2020A01448,Accepting Proxy,0,1620.85,9293,,,HIDDEN,VACANT LOT,MIAMI,33142-4554,30-3121-026-1340,3031210261340
TAXACT30312102613602020A01449,05/13/2021,03/03/2021,2020A01449,Accepting Proxy,0,1523.33,9293,,,HIDDEN,VACANT LOT,MIAMI,33142-4554,30-3121-026-1360,3031210261360
TAXACT28221008009302020A01490,05/13/2021,03/03/2021,2020A01490,Accepting Proxy,0,47474.97,465700,,,HIDDEN,2000 ISLAND BLVD,AVENTURA,33160-4957,28-2210-080-0930,2822100800930
