Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT30400802508902021A00040,05/20/2021,03/22/2021,2021A00040,Accepting Proxy,0,30154.13,333118,,,HIDDEN,10411 SW 17 ST,MIAMI,33165-7306,30-4008-025-0890,3040080250890
TAXACT01413815726502021A00042,05/20/2021,03/22/2021,2021A00042,Accepting Proxy,0,34564.71,409126,,,HIDDEN,45 SW 9 ST,MIAMI,33130-3020,01-4138-157-2650,0141381572650
TAXACT06222907806902019A01112,05/20/2021,03/22/2021,2019A01112,Accepting Proxy,0,-824.91,27820,,,HIDDEN,12500 NE 15 AVE,NORTH MIAMI,33161-6017,06-2229-078-0690,0622290780690
TAXACT01313608303402021A00043,05/20/2021,03/22/2021,2021A00043,Accepting Proxy,0,30979.75,55062,,,HIDDEN,1990 NW 4 CT,MIAMI,33136-1225,01-3136-083-0340,0131360830340
TAXACT06223006702302021A00044,05/20/2021,03/22/2021,2021A00044,Accepting Proxy,0,4187.38,46413,,,HIDDEN,13480 NE 6 AVE,NORTH MIAMI,33161-4045,06-2230-067-0230,0622300670230
TAXACT30312102303702019A01271,05/20/2021,03/22/2021,2019A01271,Accepting Proxy,0,7523.08,117894,,,HIDDEN,VACANT LOT,MIAMI,33142-0000,30-3121-023-0370,3031210230370
TAXACT30693500000802021A00014,05/20/2021,03/23/2021,2021A00014,Canceled,0,16649.05,187500,,,HIDDEN,VACANT LOT,MIAMI,33032-0000,30-6935-000-0080,3069350000080
TAXACT06222103634802021A00071,05/20/2021,03/23/2021,2021A00071,Accepting Proxy,0,25428.84,210540,,,HIDDEN,14951 ROYAL OAKS LN,NORTH MIAMI,33181-2474,06-2221-036-3480,0622210363480
TAXACT01312302102202021A00073,05/20/2021,03/23/2021,2021A00073,Accepting Proxy,0,8304.77,80241,,,HIDDEN,VACANT LOT,MIAMI,33127-0000,01-3123-021-0220,0131230210220
TAXACT30401900322202021A00074,05/20/2021,03/23/2021,2021A00074,Accepting Proxy,0,26928.69,326000,,,HIDDEN,4040 SW 107 CT,MIAMI,33165-4817,30-4019-003-2220,3040190032220
TAXACT36601600604702021A00016,05/20/2021,03/23/2021,2021A00016,Accepting Proxy,0,11479.98,235578,,,HIDDEN,21465 SW 88 PL,CUTLER BAY,33189-3772,36-6016-006-0470,3660160060470
TAXACT14223504308602021A00045,05/20/2021,03/23/2021,2021A00045,Accepting Proxy,0,18637.4,165332,,,HIDDEN,9195 COLLINS AVE,SURFSIDE,33154-3155,14-2235-043-0860,1422350430860
TAXACT04301104700402021A00017,05/20/2021,03/23/2021,2021A00017,Accepting Proxy,0,23853.97,555674,,,HIDDEN,1687 W 32 PL,HIALEAH,33012-4509,04-3011-047-0040,0430110470040
TAXACT01020205012302021A00046,05/20/2021,03/23/2021,2021A00046,Accepting Proxy,0,14470.06,106104,,,HIDDEN,VACANT LOT,MIAMI,33130-1311,01-0202-050-1230,0102020501230
