Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT01312205218202021A00162,06/03/2021,04/05/2021,2021A00162,Accepting Proxy,0,65400.95,112990,,,HIDDEN,1848 NW 57 ST,MIAMI,33142-3056,01-3122-052-1820,0131220521820
TAXACT30220601600502021A00238,06/03/2021,04/05/2021,2021A00238,Accepting Proxy,0,1392.31,36612,,,HIDDEN,19001 NE 2 AVE,MIAMI,33179-3766,30-2206-016-0050,3022060160050
TAXACT30593600214002021A00244,06/03/2021,04/05/2021,2021A00244,Accepting Proxy,0,28849.59,305591,,,HIDDEN,11950 SW 182 TER,MIAMI,33177-2445,30-5936-002-1400,3059360021400
TAXACT12222600800302021A00157,06/03/2021,04/05/2021,2021A00157,Accepting Proxy,0,32443.04,56212,,,HIDDEN,10170 COLLINS AVE,BAL HARBOUR,33154-1651,12-2226-008-0030,1222260080030
TAXACT30693600513802021A00163,06/03/2021,04/05/2021,2021A00163,Accepting Proxy,0,6651.34,36300,,,HIDDEN,VACANT LOT,MIAMI,33032-3388,30-6936-005-1380,3069360051380
TAXACT01311403509602021A00239,06/03/2021,04/05/2021,2021A00239,Accepting Proxy,0,1761.99,1903,,,HIDDEN,VACANT LOT,MIAMI,33142-2516,01-3114-035-0960,0131140350960
TAXACT12222600801302021A00158,06/03/2021,04/05/2021,2021A00158,Accepting Proxy,0,4032.54,23000,,,HIDDEN,10170 COLLINS AVE,BAL HARBOUR,33154-1651,12-2226-008-0130,1222260080130
TAXACT08212200307802021A00235,06/03/2021,04/05/2021,2021A00235,Accepting Proxy,0,10324.56,7316,,,HIDDEN,VACANT LOT,OPA-LOCKA,33054-2860,08-2122-003-0780,0821220030780
TAXACT02323304118302021A00159,06/03/2021,04/05/2021,2021A00159,Canceled,0,29434.3,766600,,,HIDDEN,11 ISLAND AVE,MIAMI BEACH,33139-1320,02-3233-041-1830,0232330411830
TAXACT23320902104602021A00247,06/03/2021,04/05/2021,2021A00247,Accepting Proxy,0,19858.57,256500,,,HIDDEN,8010 EAST DR,NORTH BAY VILLAGE,33141-4143,23-3209-021-0460,2332090210460
TAXACT30310400359702020A00398,06/03/2021,04/05/2021,2020A00398,Accepting Proxy,0,72735.5,124037,,,HIDDEN,3072 NW 90 ST,MIAMI,33147-3448,30-3104-003-5970,3031040035970
TAXACT30493500813002020A00350,06/03/2021,04/06/2021,2020A00350,Accepting Proxy,0,22505.31,291074,,,HIDDEN,7323 SW 134 PL,MIAMI,33183-3241,30-4935-008-1300,3049350081300
TAXACT30311500560522021A00205,06/03/2021,04/06/2021,2021A00205,Accepting Proxy,0,12589.82,9825,,,HIDDEN,VACANT LOT,MIAMI,33147-7463,30-3115-005-6052,3031150056052
TAXACT30312100001232020A00349,06/03/2021,04/06/2021,2020A00349,Accepting Proxy,0,9187.58,88705,,,HIDDEN,2910 NW 51 ST,MIAMI,33142-3561,30-3121-000-0123,3031210000123
