Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT30691202306202020A00929,06/10/2021,05/19/2021,2020A00929,Canceled,0,2650.18,101680,,,HIDDEN,20030 SW 123 DR,MIAMI,33177-5203,30-6912-023-0620,3069120230620
TAXACT22203000600112020A01503,06/10/2021,05/19/2021,2020A01503,Canceled,0,22434.3,42497,,,HIDDEN,VACANT LOT,MEDLEY,33178-0000,22-2030-006-0011,2220300060011
TAXACT30311600946512021A00259,07/15/2021,05/19/2021,2021A00259,Accepting Proxy,0,4508.47,12581,,,HIDDEN,VACANT LOT,MIAMI,33142-2216,30-3116-009-4651,3031160094651
TAXACT30400408402802018A00138,07/15/2021,05/17/2021,2018A00138,Accepting Proxy,0,1559.93,,,,HIDDEN,9454 NW 2 ST,MIAMI,33172,30-4004-084-0280,3040040840280
TAXACT30500706326602021A00255,07/15/2021,05/18/2021,2021A00255,Accepting Proxy,0,882.26,230,,,HIDDEN,10700 SW 108 AVE,MIAMI,33176-3357,30-5007-063-2660,3050070632660
TAXACT30500706327102021A00256,07/15/2021,05/18/2021,2021A00256,Accepting Proxy,0,882.26,230,,,HIDDEN,10801 SW 109 CT,MIAMI,33176-3357,30-5007-063-2710,3050070632710
TAXACT01414001101602020A00213,07/15/2021,05/18/2021,2020A00213,Accepting Proxy,0,26803.83,214865,,,HIDDEN,145 SE 25 RD,MIAMI,33129-2400,01-4140-011-0160,0141400110160
TAXACT30311600903002021A00257,07/15/2021,05/18/2021,2021A00257,Accepting Proxy,0,2514.95,25577,,,HIDDEN,3190 NW 61 ST,MIAMI,33142,30-3116-009-0300,3031160090300
TAXACT30400408402902018A00139,07/15/2021,05/18/2021,2018A00139,Accepting Proxy,0,1608.08,,,,HIDDEN,9452 NW 2 ST,MIAMI,33172,30-4004-084-0290,3040040840290
TAXACT30500706313602021A00253,07/15/2021,05/18/2021,2021A00253,Accepting Proxy,0,918.32,230,,,HIDDEN,10500 SW 108 AVE,MIAMI,33176-3357,30-5007-063-1360,3050070631360
TAXACT30400408402702018A00137,07/15/2021,05/18/2021,2018A00137,Accepting Proxy,0,1608.08,,,,HIDDEN,9456 NW 2 ST,MIAMI,33172,30-4004-084-0270,3040040840270
TAXACT30500706326502021A00254,07/15/2021,05/18/2021,2021A00254,Accepting Proxy,0,882.26,230,,,HIDDEN,10700 SW 108 AVE,MIAMI,33176-3357,30-5007-063-2650,3050070632650
TAXACT30400408403302018A00142,07/15/2021,05/18/2021,2018A00142,Accepting Proxy,0,1559.93,,,,HIDDEN,212 NW 94 PATH,MIAMI,33172,30-4004-084-0330,3040040840330
TAXACT34113301503102020A01250,07/15/2021,05/18/2021,2020A01250,Accepting Proxy,0,14582.2,152992,,,HIDDEN,2740 NW 208 TER,MIAMI GARDENS,33056-1437,34-1133-015-0310,3411330150310
TAXACT30311504202902021A00258,07/15/2021,05/18/2021,2021A00258,Accepting Proxy,0,4847.21,20625,,,HIDDEN,VACANT LOT,MIAMI,33142-0000,30-3115-042-0290,3031150420290
TAXACT31221107405402020A01368,07/15/2021,05/18/2021,2020A01368,Accepting Proxy,0,34697.21,336237,,,HIDDEN,17315 COLLINS AVE,SUNNY ISLES BEACH,33160-3410,31-2211-074-0540,3122110740540
