Case Number Eviction,Folio,Filing Date
2020-027713-CA-01,3059040141180,1/19/2021
2020-027704-CA-01,3059040021950,1/19/2021
2020-010907-CA-01,3122110980010,1/19/2021
2020-027708-CA-01,3059040020630,1/19/2021
2021-000677-CA-01,341190060740,1/19/2021
2020-027912-CA-01,2050010001311,1/19/2021
2020-027913-CA-01,131130240030,1/19/2021
2020-027916-CA-01,3421160060810,1/19/2021
2019-015975-CA-01,3040190052500,1/19/2021
2019-000803-FC-04,3040190052500,1/19/2021
2021-000736-CA-01,3040100580240,1/19/2021
2020-011638-CA-01,232100480120,1/19/2021
2015-008216-FC-04,821220170520,1/19/2021
2021-000786-CA-01,3060070030155,1/19/2021
2021-000143-CA-01,3050290310950,1/19/2021
2021-000760-CC-05,3530180222720,1/19/2021
2021-000762-CC-05,232342210140,1/19/2021
2021-001180-CC-25,420341020820,1/19/2021
2021-000873-CA-01,242033342450,1/19/2021
2020-027706-CA-01,3059080100280,1/19/2021
2020-027708-CA-01,3059040020630,1/19/2021
2020-027713-CA-01,3059040141180,1/19/2021
2019-025872-CC-23,232260011280,1/19/2021
2021-000904-CA-01,3079030010930,1/19/2021
2021-000924-CA-01,141370690030,1/19/2021
2021-000940-CA-01,141381571470,1/19/2021
2021-000866-CC-05,3122140250950,1/19/2021
2021-000868-CC-05,3049320161270,1/19/2021
2020-027892-CA-01,3022060240100,1/19/2021
2021-000951-CA-01,242030970490,1/19/2021
2021-000962-CA-01,3049010050042,1/19/2021
2021-000995-CA-01,3079090290200,1/19/2021
2021-001000-CA-01,722070370160,1/19/2021
2021-001016-CA-01,242030140120,1/19/2021
2021-001025-CA-01,3022040181790,1/19/2021
2021-000918-CC-23,3022310290320,1/19/2021
2021-001033-CA-01,3050040360030,1/19/2021
2021-001056-CA-01,242033342560,1/19/2021
2019-027679-FC-04,132070540010,1/19/2021
2021-001057-CA-01,3030520752240,1/19/2021
2021-001064-CA-01,1079210260250,1/19/2021
2021-001067-CA-01,3030520752240,1/19/2021
2021-001503-CC-25,420281050070,1/19/2021
2021-000987-CC-23,3530190060140,1/19/2021
2021-001084-CA-01,3049010050042,1/19/2021
2021-001085-CA-01,132300931250,1/19/2021
2021-001291-CC-26,1079290143250,1/19/2021
2021-001098-CA-01,3031020180560,1/19/2021
2021-001207-CC-05,3050020901970,1/19/2021
2021-001104-CA-01,3530220350430,1/22/2021
2021-001067-CA-01,3030520752240,1/22/2021
2021-001126-CA-01,3350340150090,1/22/2021
2021-001570-CA-01,3660160021300,1/22/2021
