Case Number Tax,Sale Date,Add Date,Status,Final Judgment,Opening Bid,Assessed Value,Folio
2020A01138,03/11/2021,01/04/2021,Accepting Proxy,0,4402.21,12459.0,131230120800
2020A01144,03/11/2021,01/04/2021,Accepting Proxy,0,8828.67,78279.0,131140351410
2020A01146,03/11/2021,01/04/2021,Accepting Proxy,0,12002.91,149729.0,131130510360
2020A01147,03/11/2021,01/04/2021,Accepting Proxy,0,12549.33,133618.0,131130240730
2020A01148,03/11/2021,01/05/2021,Accepting Proxy,0,4299.37,61635.0,3021140100310
2020A01150,03/11/2021,01/05/2021,Accepting Proxy,0,9292.29,146032.0,3078260000180
2020A01154,03/11/2021,01/05/2021,Accepting Proxy,0,6887.98,59145.0,3031220250320
2020A01155,03/11/2021,01/05/2021,Accepting Proxy,0,11653.11,73188.0,3022050481500
2020A01156,03/11/2021,01/05/2021,Accepting Proxy,0,1830.67,24000.0,3079060000295
2020A01157,03/11/2021,01/05/2021,Accepting Proxy,0,3934.08,34878.0,3421120370760
2020A01151,03/11/2021,01/06/2021,Accepting Proxy,0,15765.58,92662.0,3022050331690
2020A01158,03/11/2021,01/06/2021,Accepting Proxy,0,7719.55,120250.0,3058150001073
2020A01200,03/11/2021,01/06/2021,Accepting Proxy,0,10567.88,105750.0,131240011670
2020A01201,03/11/2021,01/06/2021,Accepting Proxy,0,25478.36,329034.0,131240240850
2020A01202,03/11/2021,01/06/2021,Accepting Proxy,0,36528.09,386420.0,132310680340
2020A01206,03/11/2021,01/06/2021,Accepting Proxy,0,99310.38,952065.0,132300200240
2020A01207,03/11/2021,01/07/2021,Accepting Proxy,0,11702.71,93089.0,131130520175
2020A01208,03/11/2021,01/07/2021,Accepting Proxy,0,1407.17,289360.0,141381573330
2020A01209,03/11/2021,01/07/2021,Accepting Proxy,0,27692.79,499653.0,141381491890
2020A01211,03/11/2021,01/07/2021,Accepting Proxy,0,51358.34,762147.0,101080901160
2020A01212,03/11/2021,01/07/2021,Accepting Proxy,0,20191.12,218586.0,132310480216
2019A00933,03/11/2021,01/07/2021,Accepting Proxy,0,9723.8,121683.0,2730030104830
2020A00192,03/11/2021,01/08/2021,Accepting Proxy,0,103096.03,1023000.0,3122110620240
2020A01218,03/11/2021,01/08/2021,Accepting Proxy,0,113112.34,755212.0,232020100362
2020A00974,03/11/2021,01/08/2021,Accepting Proxy,0,8191.22,86708.0,3060180030751
2020A00984,03/11/2021,01/08/2021,Accepting Proxy,0,57916.38,102847.0,3421090151060
2020A01054,03/11/2021,01/08/2021,Accepting Proxy,0,7631.74,102007.0,141040530460
2020A01068,03/11/2021,01/08/2021,Accepting Proxy,0,238523.84,427407.0,341190041210
2020A01133,03/11/2021,01/08/2021,Accepting Proxy,0,8425.48,63156.0,131230210040
2020A01134,03/11/2021,01/08/2021,Accepting Proxy,0,5444.36,46966.0,131230180100
2020A01135,03/11/2021,01/08/2021,Accepting Proxy,0,4462.21,,430120090760
2020A01136,03/11/2021,01/08/2021,Accepting Proxy,0,6507.58,,131370280060
2020A01159,03/11/2021,01/11/2021,Accepting Proxy,0,2711.6,35237.0,142070013661
2020A01160,03/11/2021,01/11/2021,Accepting Proxy,0,8118.3,106700.0,232230140150
2020A01166,03/11/2021,01/11/2021,Accepting Proxy,0,13123.36,219729.0,141030300140
2020A01167,03/11/2021,01/11/2021,Accepting Proxy,0,11686.22,146278.0,131260380480
2020A01170,03/11/2021,01/11/2021,Accepting Proxy,0,12280.51,157100.0,132180700340
2020A01188,03/11/2021,01/11/2021,Accepting Proxy,0,8871.34,100462.0,3530210200230
2020A01189,03/11/2021,01/11/2021,Accepting Proxy,0,8726.71,100462.0,3530210202260
2020A01190,03/11/2021,01/11/2021,Accepting Proxy,0,12617.12,261650.0,3530190070940
2020A01196,03/11/2021,01/11/2021,Accepting Proxy,0,17569.26,206150.0,141213500180
2020A01198,03/11/2021,01/11/2021,Accepting Proxy,0,12118.12,204342.0,141391163910
2020A01000,02/18/2021,01/27/2021,Canceled,0,645.68,,3059030240250
2020A01193,04/08/2021,01/27/2021,Accepting Proxy,0,17782.07,271654.0,141050280240
2020A01280,04/08/2021,01/27/2021,Accepting Proxy,0,6928.8,260000.0,3530190391310
2020A01099,04/08/2021,01/27/2021,Accepting Proxy,0,6897.61,68910.0,3031220142400
2020A01281,04/08/2021,01/27/2021,Accepting Proxy,0,59975.69,106508.0,3022070160370
2020A01174,04/08/2021,01/28/2021,Accepting Proxy,0,15772.72,205700.0,232330390580
2020A01194,04/08/2021,01/28/2021,Accepting Proxy,0,25088.8,256518.0,132310681090
2020A01376,04/08/2021,01/28/2021,Accepting Proxy,0,7153.56,133200.0,232340500200
2020A01179,04/08/2021,01/28/2021,Accepting Proxy,0,25971.89,281465.0,141370622140
2020A01180,04/08/2021,01/28/2021,Accepting Proxy,0,59456.43,469609.0,132190090280
2020A01397,04/08/2021,01/28/2021,Accepting Proxy,0,21253.94,260942.0,3421140070331
2020A01262,04/08/2021,01/28/2021,Accepting Proxy,0,14693.64,196700.0,2812350860390
2020A01181,04/08/2021,01/28/2021,Accepting Proxy,0,73414.24,1573074.0,131250330010
2020A01263,04/08/2021,01/28/2021,Accepting Proxy,0,3986.73,51989.0,3021140100760
2020A01398,04/08/2021,01/28/2021,Accepting Proxy,0,2799.59,25824.0,3069120080290
2020A01399,04/08/2021,01/28/2021,Accepting Proxy,0,1656.14,8784.0,3078260060700
2020A01267,04/08/2021,01/29/2021,Accepting Proxy,0,4377.84,89169.0,3049330130310
2020A01401,04/08/2021,01/29/2021,Accepting Proxy,0,7216.01,9825.0,3031150055410
2020A01268,04/08/2021,01/29/2021,Accepting Proxy,0,8931.89,142000.0,3530220290430
2020A01402,04/08/2021,01/29/2021,Accepting Proxy,0,2946.06,21175.0,3031210330050
2020A01270,04/08/2021,01/29/2021,Accepting Proxy,0,10350.43,88511.0,1079290143560
2020A01404,04/08/2021,01/29/2021,Accepting Proxy,0,848.84,19057.0,3031150350070
2020A01264,04/08/2021,01/29/2021,Accepting Proxy,0,8784.86,138200.0,3040320380050
2020A01271,04/08/2021,01/29/2021,Accepting Proxy,0,7207.91,96089.0,3030531161090
2020A00758,04/08/2021,01/26/2021,Accepting Proxy,0,14435.24,313310.0,1222260432960
2020A00862,04/08/2021,01/26/2021,Accepting Proxy,0,13876.84,192280.0,3022320610510
2020A01182,04/08/2021,01/26/2021,Accepting Proxy,0,151264.64,1309138.0,232270450980
2020A01296,04/08/2021,01/26/2021,Accepting Proxy,0,2633.18,94919.0,3049120831410
2020A01297,04/08/2021,01/26/2021,Accepting Proxy,0,77049.63,136964.0,3049230080990
2020A01183,04/08/2021,01/26/2021,Accepting Proxy,0,126235.32,221998.0,141090360400
2020A00876,04/08/2021,01/26/2021,Accepting Proxy,0,2572.03,18355.0,3031210231130
2020A01184,04/08/2021,01/26/2021,Accepting Proxy,0,37721.08,405460.0,131250871690
2020A01304,04/08/2021,01/26/2021,Accepting Proxy,0,24525.27,265000.0,2822020232080
2020A00971,04/08/2021,01/26/2021,Accepting Proxy,0,10551.98,311000.0,3530070061260
2020A01305,04/08/2021,01/26/2021,Accepting Proxy,0,8272.13,90000.0,2822100041700
2020A00991,04/08/2021,01/26/2021,Accepting Proxy,0,4745.42,42050.0,3421120370130
2020A01027,04/08/2021,01/26/2021,Accepting Proxy,0,11475.65,148555.0,3660170070120
2020A01187,04/08/2021,01/27/2021,Accepting Proxy,0,16979.45,167873.0,142070041770
2020A01273,04/08/2021,01/27/2021,Accepting Proxy,0,31915.69,362000.0,232330630780
2020A01036,04/08/2021,01/27/2021,Accepting Proxy,0,11115.08,126339.0,621260163080
2020A01191,04/08/2021,01/27/2021,Accepting Proxy,0,4901.44,327764.0,140010120220
2020A01276,04/08/2021,01/27/2021,Accepting Proxy,0,9304.52,126000.0,2540060830060
